t,phi,theta,psi
0,-0.0482247,-0.029173,0
0.07,-0.0673384,-0.047619,0
0.14,-0.0846962,-0.0597461,0
0.21,-0.094878,-0.0682543,0
0.281,-0.105969,-0.0758291,0
0.351,-0.114011,-0.08227,0
0.421,-0.12136,-0.0874585,0
0.491,-0.127362,-0.0919154,0
0.561,-0.134287,-0.0971838,0
0.631,-0.139101,-0.101026,0
0.701,-0.144387,-0.105042,0
0.772,-0.147988,-0.108509,0
0.842,-0.15308,-0.111644,0
0.912,-0.15674,-0.114537,0
0.982,-0.160776,-0.117692,0
1.052,-0.164065,-0.120075,0
1.122,-0.167354,-0.122787,0
1.193,-0.170777,-0.124901,0
1.263,-0.173505,-0.128011,0
1.333,-0.176259,-0.129523,0
1.403,-0.179293,-0.132727,0
1.473,-0.181364,-0.133609,0
1.543,-0.18413,-0.136864,0
1.614,-0.186123,-0.138211,0
1.684,-0.188639,-0.140486,0
1.754,-0.190954,-0.142064,0
1.824,-0.193127,-0.143766,0
1.894,-0.194889,-0.145392,0
1.964,-0.197223,-0.14733,-0.0040107
2.034,-0.199398,-0.148642,-0.0040107
2.105,-0.201029,-0.150242,-0.0040107
2.175,-0.203099,-0.147978,-0.00402476
2.245,-0.204859,-0.148866,-0.00402476
2.315,-0.206712,-0.150518,-0.00402476
2.385,-0.2084,-0.151975,-0.00402476
2.455,-0.209622,-0.15341,-0.00803545
2.526,-0.211682,-0.154683,-0.0120461
2.596,-0.213281,-0.155754,-0.0120461
2.666,-0.214996,-0.156876,-0.0120461
2.736,-0.216509,-0.158301,-0.0120461
2.806,-0.217669,-0.159405,-0.0120461
2.876,-0.219317,-0.160485,-0.0160568
2.947,-0.220693,-0.165577,-0.0160415
3.017,-0.222014,-0.166609,-0.0160415
3.087,-0.223469,-0.16782,-0.0200522
3.157,-0.224725,-0.168644,-0.0200522
3.227,-0.225857,-0.169819,-0.0200522
3.297,-0.227376,-0.17074,-0.0240629
3.368,-0.228224,-0.171896,-0.0240629
3.438,-0.229913,-0.17269,-0.0280736
3.508,-0.231153,-0.173688,-0.0280736
3.578,-0.232315,-0.174538,-0.0240629
3.648,-0.23321,-0.175636,-0.0240629
3.718,-0.234695,-0.176441,-0.0240629
3.788,-0.235669,-0.177275,-0.0240629
3.859,-0.232865,-0.178341,-0.0240629
3.929,-0.234084,-0.179107,-0.0240629
3.999,-0.235017,-0.180068,-0.0240629
4.069,-0.236219,-0.181003,-0.0240629
4.139,-0.237184,-0.181756,-0.0240629
4.209,-0.238135,-0.182635,-0.0240629
4.28,-0.239254,-0.183337,-0.0240629
4.35,-0.240159,-0.184133,-0.0240629
4.42,-0.241182,-0.184788,-0.0240629
4.49,-0.242163,-0.185709,-0.0240629
4.56,-0.243131,-0.186365,-0.0240629
4.63,-0.244023,-0.187322,-0.0240629
4.701,-0.244978,-0.187707,-0.0280736
4.771,-0.245899,-0.188673,-0.0280736
4.841,-0.246825,-0.189108,-0.0280736
4.911,-0.247665,-0.190075,-0.0280736
4.981,-0.2487,-0.194533,-0.0280562
5.051,-0.249364,-0.195529,-0.0280562
5.121,-0.250357,-0.195999,-0.0280562
5.192,-0.25122,-0.196931,-0.0280562
5.262,-0.251869,-0.197358,-0.0280562
5.332,-0.252904,-0.198191,-0.0280562
5.402,-0.253523,-0.198639,-0.0280562
5.472,-0.25446,-0.199425,-0.0320669
5.542,-0.255207,-0.199909,-0.0320669
5.613,-0.25588,-0.200652,-0.0320669
5.683,-0.256835,-0.201184,-0.0320669
5.753,-0.257444,-0.201875,-0.0320669
5.823,-0.258314,-0.202452,-0.0320669
5.893,-0.259022,-0.203044,-0.0320669
5.963,-0.25975,-0.203637,-0.0320669
6.034,-0.260621,-0.204121,-0.0320669
6.104,-0.261192,-0.204762,-0.0320669
6.174,-0.262045,-0.205297,-0.0320669
6.244,-0.262757,-0.205978,-0.0320669
6.314,-0.263403,-0.20645,-0.0320669
6.384,-0.264199,-0.207073,-0.0320669
6.455,-0.264794,-0.207529,-0.0320669
6.525,-0.265637,-0.208146,-0.0320669
6.595,-0.266303,-0.208594,-0.0320669
6.665,-0.266957,-0.209255,-0.0320669
6.735,-0.267678,-0.209719,-0.0320669
6.805,-0.268259,-0.210356,-0.0320669
6.875,-0.269003,-0.21077,-0.0320669
6.946,-0.269657,-0.211359,-0.0320669
7.016,-0.270252,-0.211789,-0.0320669
7.086,-0.270918,-0.212386,-0.0320669
7.156,-0.271514,-0.212797,-0.0320669
7.226,-0.272191,-0.21336,-0.0320669
7.296,-0.272794,-0.213821,-0.0320669
7.367,-0.27342,-0.214363,-0.0320669
7.437,-0.274052,-0.214789,-0.0320669
7.507,-0.274624,-0.215332,-0.0320669
7.577,-0.275273,-0.215801,-0.0320669
7.647,-0.275857,-0.216281,-0.0320669
7.717,-0.276484,-0.216731,-0.0320669
7.788,-0.27708,-0.21722,-0.0320669
7.858,-0.277645,-0.217715,-0.0320669
7.928,-0.278315,-0.218191,-0.0320669
7.998,-0.278856,-0.218668,-0.0320669
8.068,-0.279464,-0.219137,-0.0320669
8.138,-0.280068,-0.219612,-0.0320669
8.208,-0.280586,-0.220002,-0.0320669
8.279,-0.281215,-0.220475,-0.0320669
8.349,-0.281746,-0.220895,-0.0320669
8.419,-0.282311,-0.221375,-0.0320669
8.489,-0.282873,-0.221779,-0.0320669
8.559,-0.283396,-0.222238,-0.0320669
8.629,-0.283945,-0.222587,-0.0320669
8.7,-0.284475,-0.223054,-0.0320669
8.77,-0.285026,-0.223427,-0.0320669
8.84,-0.285558,-0.223887,-0.0320669
8.91,-0.286063,-0.22426,-0.0320669
8.98,-0.286597,-0.224713,-0.0320669
9.05,-0.287091,-0.225136,-0.0320669
9.121,-0.287627,-0.225574,-0.0320669
9.191,-0.288126,-0.22597,-0.0360776
9.261,-0.288645,-0.226371,-0.0360776
9.331,-0.285183,-0.226729,-0.0360776
9.401,-0.285684,-0.227129,-0.0360776
9.471,-0.286199,-0.227513,-0.0360776
9.541,-0.286698,-0.227934,-0.0360776
9.612,-0.287189,-0.228317,-0.0360776
9.682,-0.287707,-0.228702,-0.0360776
